method	gene	split	cohort	n	called	correct	accuracy_all	call_rate	accuracy_called	unseen_alleles	majority_accuracy
gene_flanks_31mer_fixed	HLA-DRB1	leave_cohort_out	JaSaPaGe-Japanese	10	10	10	1.0	1.0	1.0	0	0.1
gene_flanks_31mer_fixed	HLA-DRB1	leave_cohort_out	JaSaPaGe-Saudi	18	18	18	1.0	1.0	1.0	0	0.1111111111111111
gene_flanks_31mer_fixed	HLA-DRB1	leave_cohort_out	KPanRef-Korean	25	25	25	1.0	1.0	1.0	0	0.12
gene_flanks_31mer_fixed	HLA-DRB1	leave_family_out	ALL	724	716	689	0.9516574585635359	0.988950276243094	0.9622905027932961	15	0.08839779005524862
gene_flanks_31mer_fixed	HLA-DRB1	leave_family_out	APR	104	104	96	0.9230769230769231	1.0	0.9230769230769231	6	0.10576923076923077
gene_flanks_31mer_fixed	HLA-DRB1	leave_family_out	CPC-Chinese	103	100	97	0.941747572815534	0.970873786407767	0.97	2	0.06796116504854369
gene_flanks_31mer_fixed	HLA-DRB1	leave_family_out	HPRC-EastAsian	70	69	65	0.9285714285714286	0.9857142857142858	0.9420289855072463	1	0.02857142857142857
gene_flanks_31mer_fixed	HLA-DRB1	leave_family_out	HPRC-Japanese	32	32	32	1.0	1.0	1.0	0	0.03125
gene_flanks_31mer_fixed	HLA-DRB1	leave_family_out	HPRC-Jewish	2	2	2	1.0	1.0	1.0	0	0.0
gene_flanks_31mer_fixed	HLA-DRB1	leave_family_out	HPRC-Rest	360	356	344	0.9555555555555556	0.9888888888888889	0.9662921348314607	6	0.10277777777777777
gene_flanks_31mer_fixed	HLA-DRB1	leave_family_out	JaSaPaGe-Japanese	10	10	10	1.0	1.0	1.0	0	0.1
gene_flanks_31mer_fixed	HLA-DRB1	leave_family_out	JaSaPaGe-Saudi	18	18	18	1.0	1.0	1.0	0	0.1111111111111111
gene_flanks_31mer_fixed	HLA-DRB1	leave_family_out	KPanRef-Korean	25	25	25	1.0	1.0	1.0	0	0.12
