gene	method	split	cohort	rarity	n	called	correct	accuracy_all	call_rate	accuracy_called	majority_accuracy
HLA-A	flanks_only	leave_family_out	ALL	rare_1_to_5_donors	43	16	15	0.3488372093023256	0.37209302325581395	0.9375	0.0
HLA-A	flanks_only	leave_family_out	ALL	unseen	13	7	0	0.0	0.5384615384615384	0.0	0.0
HLA-A	flanks_only	leave_family_out	APR	ALL	105	33	31	0.29523809523809524	0.3142857142857143	0.9393939393939394	0.11428571428571428
HLA-A	flanks_only	leave_family_out	CPC-Chinese	ALL	104	19	17	0.16346153846153846	0.18269230769230768	0.8947368421052632	0.11538461538461539
HLA-A	flanks_only	leave_family_out	HPRC-EastAsian	ALL	70	4	4	0.05714285714285714	0.05714285714285714	1.0	0.1
HLA-A	flanks_only	leave_family_out	HPRC-Japanese	ALL	32	2	2	0.0625	0.0625	1.0	0.0625
HLA-A	flanks_only	leave_family_out	HPRC-Jewish	ALL	2	0	0	0.0	0.0		0.0
HLA-A	flanks_only	leave_family_out	HPRC-Rest	ALL	360	120	111	0.30833333333333335	0.3333333333333333	0.925	0.15555555555555556
HLA-A	flanks_only	leave_family_out	JaSaPaGe-Japanese	ALL	10	0	0	0.0	0.0		0.0
HLA-A	flanks_only	leave_family_out	JaSaPaGe-Saudi	ALL	17	5	5	0.29411764705882354	0.29411764705882354	1.0	0.0
HLA-A	flanks_only	leave_family_out	KPanRef-Korean	ALL	26	4	4	0.15384615384615385	0.15384615384615385	1.0	0.11538461538461539
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	ALL	ALL	726	239	231	0.3181818181818182	0.32920110192837465	0.9665271966527197	0.0674931129476584
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	ALL	more_than_5_donors	577	180	179	0.31022530329289427	0.3119584055459272	0.9944444444444445	0.08492201039861352
HLA-A	gene_bundles_fixed_panel	leave_cohort_out	ALL	rare_1_to_5_donors	124	52	52	0.41935483870967744	0.41935483870967744	1.0	0.0
